,title,paragraph,news_list,event_timestamp
429,germany tighten restriction traveller uk,monday tourist travel banned germany place uk highest covid risk category due omicron,Compliance,2021-12-19T01:16:00Z
430,biden announce new covid measure omicron variant spike,president biden deliver speech tuesday announce covid measure fight rapidlyspreading omicron variant build winter plan,Delays,2021-12-19T01:07:00Z
431,new detail solves omicron puzzle,new study uncovered omicron variant may considerably transmissible cause le severe infection patient,Commodities,2021-12-19T01:04:00Z
432,twitter cechinaeconomy omicron,latest study show rd shot china sinovac inactivated vaccine double vaccine neutralizing antibody positive rate omicron variant study conducted company people received shot another received shot,Commodities,2021-12-19T01:00:01Z
433,european reimpose restriction omicron sweep continent,nation across europe moving reimpose tougher measure stem new wave covid infection spurred highly transmissible omicron variant triggering call protest paris barcelona,Delays,2021-12-19T00:58:00Z
434,netherlands enters unavoidable lockdown omicron spur tough restriction across europe,nation across europe moved reimpose tougher measure stem new wave covid infection spurred highly transmissible omicron variant netherlands leading way imposing nationwide lockdown,Financial Health,2021-12-19T00:49:00Z
435,seven dead omicron variant hospital new strain soar,uk health security agency confirmed seven people died infected omicron variant number people hospitalised rapidly spreading strain risen,Delays,2021-12-19T00:47:00Z
436,regeneron ceo well need covid antibody work omicron surge cnbc news,regeneron ceo well need covid antibody work omicron surge cnbc news oakland news sf bay area east bay california world,Financial Health,2021-12-19T00:46:00Z
437,tingle itchy eye omicron patient say new variant totally different covid experience,scientist race discover distinguishing feature omicron tshepo mompei may one people world explain variant feel like compared earlier strain,Commodities,2021-12-19T00:46:00Z
438,sell rumor fails china biotech roar back,bloomberg china biggest drugmakers saw least billion market value vanish day wild speculation possible inclusion president joe bidens blacklistmost read bloombergsouth africa hospitalization rate plunge omicron waveacross u school shooting threat tiktok prompt closure policeengland hundred thousand new omicron case dailyomicron get around previous covid infection study warnsbiden shotortest rule take,Compliance,2021-12-19T00:44:00Z
439,maine detects state first omicron variant case here know,maine state reported case omicron variant new hampshire first confirmed first case omicron variant dec,Environmental,2021-12-19T00:38:00Z
440,canada trudeau say omicron spike scary ottawa lift africa travel ban,canadian prime minister justin trudeau friday said spike case omicron covid variant scary country top medical official made clear healthcare system could soon swamped,Environmental,2021-12-19T00:21:00Z
441,column depleted u petroleum stock support oil price kemp,u petroleum inventory well normal seasonal level continued sliding recent week supporting oil price despite fear impact omicron economy travel,Supplier Market,2021-12-19T00:17:00Z
442,omicron case doubling day place local spread,given current available data likely omicron outpace delta community transmission occurs,Environmental,2021-12-19T00:15:00Z
443,today coronavirus news ontario report case saturday capacity limit effect today ontario large venue,meanwhile snl ditch audience limit cast crew amid omicron fear,Commodities,2021-12-19T00:02:00Z
444,avalanche omicron watch news video online,watch avalanche omicron video online globalnewsca,Environmental,2021-12-19T00:01:00Z
445,omicron case double overnight variant confirmed state,number confirmed omicron case u nearly doubled period hour six northeastern state saw record number daily covid case week variant state,Environmental,2021-12-19T00:00:00Z
446,state health official provide update covid new mexico,omicron variant detected new mexico earlier week variant spreading quickly across country,Commodities,2021-12-18T23:59:00Z
447,new zealand report new case omicron,uniindia wellington dec unixinhua new zealand reported four case omicron variant covid among recent international arrival taking total country eight said new zealand ministry health statement saturday,Delays,2021-12-18T23:58:00Z
448,harris say biden administration didnt see delta omicron coming,vice president kamala harris said biden administration didnt see either delta omicron coronavirus variant coming appearing reinforce perception federal response caught flatfooted severe delta variant swept country summertime,Compliance,2021-12-18T23:53:00Z
449,european covid surge see closure restriction possible lockdown,coronavirus case surging across europe omicron variant spread government imposing new restriction across continent,Delays,2021-12-18T23:53:00Z
450,dec tougher pandemic measure may way train fare hike largest nine year statutory sick pay increase urged lotus emira action,stricter measure could needed soon tackle omicron spread tougher pandemic measure could brought stem spread omicron,Compliance,2021-12-18T23:50:00Z
451,netherlands going lockdown curb omicron resident allowed four guest christmas,nation across europe moved reimpose tougher measure stem new wave covid infection spurred omicron variant including new nationwide lockdown,Financial Health,2021-12-18T23:48:00Z
452,netherlands go christmas lockdown pm,hague netherlands go lockdown christmas period try stop surge omicron coronavirus variant dutch prime minister mark rutte said saturday nonessential shop restaurant bar cinema museum theater must shut sunday january school must close least january rutte said number,Environmental,2021-12-18T23:45:00Z
453,omicron spread prompt canceled holiday event tightened restriction,president biden plan deliver remark tuesday status country fight covid city organization cancel many holiday celebration due omicron variant spread,Commodities,2021-12-18T23:32:00Z
454,christmas lockdown nation across europe shut omicron threat,nation across europe gone strict lockdown christmas new year period spurred omicron variant,Environmental,2021-12-18T23:31:00Z
455,netherlands institute hard lockdown omicron barrel across europe,european leader reacted quickly spreading omicron variant saturday hard lockdown netherlands declaration major incident emergency london measure,Financial Health,2021-12-18T23:22:00Z
456,cdc warns rapid spread omicron variant could lead surge case january,cdc warns rapid spread omicron variant could lead surge case january oakland news sf bay area east bay california world,Environmental,2021-12-18T23:17:00Z
457,weekend brief biggest story,ever given omicron quite year,Commodities,2021-12-18T23:14:00Z
458,super saturday set lure lastminute shopper u despite omicron surge,u retailer opened door saturday hope swarm shopper searching lastminute holiday gift despite surging case coronavirus including new highlycontagious omicron variant,Environmental,2021-12-18T23:08:00Z
459,omicron variant know worst affected area,here everything know omicron,Financial Health,2021-12-18T23:07:00Z
460,covid biden warns winter severe illness death unvaccinated,united state currently averaging covid death per day according figure cdc new york covid positivity doubled three day expert say due omicron variant,Environmental,2021-12-18T23:00:00Z
461,rise omicron case worry bay area amid winter covid surge,global warning omicron variant coronavirus grow urgent californian may feel theyre sliding back phase pandemic thought hoped long gone outbreak canceled event indoor mask mandate echo worst moment last month fasten seat belt precaution dr robert wachter ucsf department medicine chair said tweet may riskiest time,Delays,2021-12-18T22:59:00Z
462,top headline rbi flag crypto risk india could witness omicron surge,read top headline rbi flag crypto risk india could witness omicron surge business standard rbi talked instability cryptocurrencies could cause niti aayog member vk paul warned europelike omicron case surge india,Commodities,2021-12-18T22:58:00Z
463,uk covid case spike total omicron number explode hr xmas lockdown fear,omicron case uk continue skyrocket fear surge possibility christmas lockdown,Financial Health,2021-12-18T22:52:00Z
464,close border increase restriction,first time almost two year australia swapped closed border double doughnut sellout concert overseas interstate flight yet omicron spreading say opening feel like coronavirus equivalent bungee jump week standing ledge,Compliance,2021-12-18T22:51:00Z
465,omicron major incident declared london,major incident declared london amid huge concern spread omicron coronavirus variant across capital come london,Environmental,2021-12-18T22:50:00Z
466,ukraine report first case omicron coronavirus variant,ukraine detected first case omicron coronavirus variant health minister viktor lyashko said saturday,Environmental,2021-12-18T22:36:00Z
467,trader brace third wave omicron case rise delhi,gradual spread omicron variant coronavirus national capital impact dwindling number shopper lost trader get ready face impending third wave pandemic,Environmental,2021-12-18T22:32:00Z
468,tech rattled omicron advance german gloom whats moving market,tech rattled omicron advance german gloom whats moving market,Financial Health,2021-12-18T22:21:00Z
469,delta omicron send covid case soaring holiday travel begin,cdc warns highlycontagious omicron variant expected soon become dominant strain u,Commodities,2021-12-18T21:54:00Z
470,uk report jump omicron case death rise,case united kingdom fastspreading omicron variant coronavirus jumped sharply almost total number reported death among people far roseto seven according british health authority,Environmental,2021-12-18T21:45:00Z
471,omicron variant detected ukraine,ukraine reported first known case omicron coronavirus variant ukrinform,Environmental,2021-12-18T21:31:00Z
472,economy edge covid case rise,rising coronavirus case forcing cancellation sporting event broadway show inperson meeting economic fallout new omicron variant could come next,Supplier Market,2021-12-18T21:26:00Z
473,biden deliver tuesday speech omicron variant covid case rise,president joe biden deliver speech tuesday address omicron variant unveil new step administration taking help community need,Financial Health,2021-12-18T21:24:00Z
474,covid omicron outbreak netherlands going lockdown curb omicron,netherlands going lockdown fifth wave caused omicron,Delays,2021-12-18T21:16:00Z
475,omicron tightening global liquidity squeeze indian equity,mumbai tightening global liquidity well concern spread omicron dent indian equity trade week ahead lately fiis,Supplier Market,2021-12-18T21:04:00Z
476,oklahoma health expert believe omicron variant almost already,oklahoma health expert believe omicron variant almost already,Commodities,2021-12-18T20:59:00Z
477,th imported covid omicron variant case reported taiwan focus taiwan,taipei dec cna central epidemic command center cecc saturday confirmed another imported case omicron variant covid bringing total number omicron case taiwan since dec five,Commodities,2021-12-18T20:54:00Z
478,omicron shuts nfl game spur huge covid spike new york london,omicron variant covid continues wreak havoc nfl postpones several game new york experience highest oneday total covid case,Environmental,2021-12-18T20:46:00Z
479,expert highlight worrying factor omicron warn inevitable third wave,health expert emphasised need booster dose covidappropriate behaviour fight spread omicron variant latest news india,Commodities,2021-12-18T20:45:00Z
480,omicron death toll rise seven case hospital,six people died omicron covid another admitted hospital brings total number death england people new,Delays,2021-12-18T20:43:00Z
481,everything need know covid alberta saturday dec news,alberta government reported friday new case omicron variant detected province identified case total,Delays,2021-12-18T20:35:00Z
482,scientist predict happens next omicron variant,next omicron variant expert think omicron covid variant,Commodities,2021-12-18T20:33:00Z
483,cornell outbreak tested sample positive omicron case surge,health official sampled test covid outbreak cornell university week turned omicron variant,Delays,2021-12-18T20:32:00Z
484,covid surge threaten festivity worldwide china biggest holiday upended third year,rapid spread omicron coronavirus variant loom across part globe delta variant remains dominant others covid pandemic threatening holiday celebration million,Environmental,2021-12-18T20:30:00Z
485,covid restriction similar lockdown needed reduce hospitalisation uk,document released sage reveal bleak picture amid high number case omicron variant,Financial Health,2021-12-18T20:26:00Z
486,france hope new vaccine pas speed vaccination amid omicron spread,france hope planned new vaccine pas required enter public place persuade people get inoculated covid country face rapid spread omicron variant health minister said saturday,Compliance,2021-12-18T19:59:00Z
487,omicron spreading rapidly still low georgia christmas week arrives,omicron variant spreading quickly u could trigger huge wave coronavirus infection soon january according new fore,Delays,2021-12-18T19:54:00Z
488,covid positivity double three day nyc omicron detected u state,clear omicron variant new york city full force mayor say,Environmental,2021-12-18T19:45:00Z
489,research suggests omicron case surge san diego county,know omicron san diego county uc san diego research suggests surging,Environmental,2021-12-18T19:45:00Z
490,omicron coronavirus variant spreading fast italy health body,highly contagious omicron variant coronavirus spreading quickly italy new case identified country north south national health institute i said saturday,Delays,2021-12-18T19:33:00Z
491,science behind omicron rapid spread,omicron variant appears better able break cell evade immunity seems replicate faster airway delta variant covid,Commodities,2021-12-18T19:29:00Z
492,hawaii health official worry omicron become new delta,twelve omicron case identified hawaii far state department health confident omicron case identified receive result recent genome sequencing test,Commodities,2021-12-18T19:28:00Z
493,netherlands going lockdown curb omicron,nation across europe moving reimpose tougher measure stem new wave covid infection spurred highly transmissible omicron variant,Financial Health,2021-12-18T19:23:00Z
494,vaccinate vaccinate vaccinate make sure vaccinate dr peter hotez say omicron surge,dr wesley long houston methodist tweeted today omicron doubling every day among patient,Commodities,2021-12-18T19:14:00Z
495,sadiq khan declares major incident huge surge omicron case,additional omicron case recorded capital saturday,Commodities,2021-12-18T19:14:00Z
496,new french covid case suspected omicron variant minister,paris reuters seven new confirmed coronavirus case france suspected omicron variant health minister olivier veran,Environmental,2021-12-18T19:04:00Z
497,omicrondriven third wave likely arrive early next year peak feb covid supermodel panel,head covid supermodel panel said number case would depend ability omicron escape vaccineinduced immunity natural immunity prior exposure virus latest news india,Delays,2021-12-18T18:56:00Z
498,japan tight entry rule omicron variant last next year,prime minister fumio kishida say japan extend tight entry rule least early next year prevent spread omicron variant coronavirus,Compliance,2021-12-18T18:53:00Z
499,measure similar national lockdown needed keep hospital admission,document released scientific advisory group emergency sage painted bleak picture face omicron variant,Financial Health,2021-12-18T18:46:00Z
500,uk face inevitable surge hospital case omicron,bloomberg phenomenal pace new covid omicron strain spreading across uk trigger surge hospital admission holiday period according boris johnson top medical advisermost read bloombergfed double taper signal three hike inflation pivotcrypto price go haywire coinbase coinmarketcapcomuk traveler france face stricter rule slow omicronomicron infects time faster le severe study sayschinas bubb,Environmental,2021-12-18T18:32:00Z
501,omicron case doubling day area local spread say,omicron coronavirus variant reported country world health organization said saturday,Environmental,2021-12-18T18:31:00Z
502,london declares major incident help hospital,london mayor sadiq khan declared major incident help city hospital cope surge covid case caused fastspreading omicron coronavirus variant,Environmental,2021-12-18T18:26:00Z
503,omicron holiday unleash scramble coronavirus test across u,easy access coronavirus test uneven across united state nation face prospect explosive outbreak linked holiday travel highly transmissible omicron variant,Delays,2021-12-18T18:15:00Z
504,biden warns deadly winter fauci say omicron dominant variant,winter bringing threat severe illness death president joe biden warns dr anthony fauci forecast would matter week omicron dominant covid variant u small study south africa indicates omicron covid break booster shot protection,Environmental,2021-12-18T17:56:00Z
505,johnson johnson vaccine dubious omicron lab study find,south african virologist penny moore found key measure antibody level fell fell original strain undetectable level omicron jj shot,Environmental,2021-12-18T17:52:00Z
506,european reimpose restriction omicron sweep continent ap news,london ap nation across europe moving reimpose tougher measure stem new wave covid infection spurred highly transmissible omicron variant triggering call protest paris barcelona,Delays,2021-12-18T17:49:00Z
507,recovery threatened philippine report st omicron case,philippine december reported first case omicron variant dimming hope recovery new year approach health official manila said found two traveller one japan arrived december another nigeria day earlier carrying omicron variant asymptomatic,Financial Health,2021-12-18T17:27:00Z
508,france close border uk traveler know,france close border visitor united kingdom saturday amid spread highlycontagious omicron variant,Compliance,2021-12-18T17:25:00Z
509,breaking news live karnataka report new omicron case kerala record infection,breaking news live december live blog brings latest breaking news upcoming poll parliament winter session detail covid variant omicron news around,Financial Health,2021-12-18T17:25:00Z
510,watch early omicron symptom study say,top five symptom people reported testing positive london omicron predicted dominant variant christmas,Environmental,2021-12-18T17:24:00Z
511,omicron surge federal mandate return school get new guidance week covid news,much world edge experiencing dj vu another uncertain holiday season set inthat coronavirus case surging official around world bracing new wave stoked omicron variant appears contagious version yet playing major role sharp increase infection recent day denmark omicron case doubling roughly every two day south africa omicron spread twice fast highly infectious delta variant threat omicron particularly acute britain government official estimate people day infected new variant contain spike case british lawmaker passed sweeping new rule including vaccine certification policy entering nightclub place large crowd boris johnson prime minister whose support among member conservative party member flagging also announced plan accelerate country booster programsimilar effort encourage booster lagging united state official preparing wave infection rise proportion coronavirus case caused omicron variant increase sharply new york state recorded highest singleday total case friday gov kathy hochul imposed mask mandate indoor venue proof full vaccination required new york city infection caused broadway show go dark rockettes end season run early increasing challenge pandemicbut good news several new laboratory study indicate vaccine especially booster shot offer protection worst outcome omicron variant still research show variant likely infect many people vaccinated recovered bout older version virusin news,Delays,2021-12-18T17:22:00Z
512,covid sensible christmas look like omicron variant spread,sky news speaks scientist sensible measure people take reduce rapid spread omicron covid variant christmas,Commodities,2021-12-18T17:19:00Z
513,good morning pricing also messaging,plus marketer respond omicron event participation index,Financial Health,2021-12-18T17:19:00Z
514,omicron case surge may hit economy officer testifies manslaughter trial first,omicron variant coronavirus fueling new surge infection happening holiday shopping season effect may economy former police officer kimberly potter testifies manslaughter trial killing daunte wright,Delays,2021-12-18T17:17:00Z
515,hard lockdown necessary right say dutch outbreak team,outbreak management team omt advised implementing hard lockdown netherlands forcing closure sector exception essential shop supermarket pharmacy drugstore source confirmed following similar report rtl nieuws nrc strict lockdown would put place slow spread advancing omicron variant coronavirus,Financial Health,2021-12-18T17:08:00Z
516,coronavirus omicron live update delhi record new covid case highest singleday rise month,omicron spreading faster delta variant case doubling day informs,Delays,2021-12-18T16:56:00Z
517,expert say people wear mask againeven theyre fully vaccinated boosted,mask still protect omicron covid variant may le effective even infectious disease expert still recommending everyone even fully vaccinated people start masking,Commodities,2021-12-18T16:47:00Z
518,oregon brace omicron variant surge,following three confirmed case omicron variant oregon health official warning state may face worst covid surge coming week number patient hospitalized doubling pandemic peak dec,Environmental,2021-12-18T16:45:00Z
519,biden warns winter illness death u unvaccinated,warning come g call omicron world biggest threat public health un appeal end vaccine hoarding,Environmental,2021-12-18T16:44:00Z
520,dutch health expert advise strict lockdown slow omicron rtl nieuws,health expert advised dutch government adopt strict lockdown stem spread omicron variant coronavirus rtl nieuws reported friday,Financial Health,2021-12-18T16:40:00Z
521,update clark county woman omicron variant traveled country snhd say,clark county woman diagnosed nevada first case covid omicron variant traveled country according southern nevada health district snhd,Environmental,2021-12-18T16:31:00Z
522,omicron coronavirus live update india omicron tally rise maharashtra kerala karnataka report case,covid active case india dec update new omicron variant case india omicron variant reported country number case doubling day area community transmission said saturday,Financial Health,2021-12-18T16:27:00Z
523,beijing olympics approach omicron heightens pressure vaccine,rapid spread coronaviruss omicron variant coming crucial final runup february winter olympics beijing prompting organizer ratchet advice securing booster dose vaccine coming,Environmental,2021-12-18T16:20:00Z
524,nonrisk country test positive omicron hyderabad,telangana wednesday reported first case omicron two air passenger kenya somalia testing positive new variant covid,Commodities,2021-12-18T16:18:00Z
525,netanyahu test negative virus knesset outbreak isolate nd test,people knesset enter quarantine personnel catch virus case suspected omicron infected staff include opposition chief gym trainer,Delays,2021-12-18T16:12:00Z
526,japan extend foreigner entry curb omicron concern medium,japan extend curb foreigner entering country beyond yearend prevent spread omicron variant yomiuri newspaper reported saturday citing anonymous government source,Compliance,2021-12-18T15:54:00Z
527,twitter pdchina omicron,omicron variant covid spreading significantly faster delta strain country documented community transmission said saturday variant reported country number case doubling day,Environmental,2021-12-18T15:45:00Z
528,omicron expert point one worrying factor new variant,evidence till date shown omicron multiplies faster rate causing infection faster rate propensity making even fully vaccinated prey might head toward inevitable third wave,Environmental,2021-12-18T15:41:00Z
529,coronavirus omicron live update india omicron tally rise,coronavirus omicron india live update telangana reported two omicron case took total number case new coronavirus variant state eight,Environmental,2021-12-18T15:41:00Z
530,suspected omicron infection cathay pilot trigger lock yau tei block,yau tei building locked authority investigate whether cathay pacific pilotnbspwas infected omicron vara,Delays,2021-12-18T15:40:00Z
531,stay calm dont panic say south african doctor,head south african medical association say major difference delta omicron variant coronavirus warns european politician hyping threat new strain,Environmental,2021-12-18T15:35:00Z
532,netherlands set announce strict christmas lockdown medium,dutch government expected announce saturday strict christmas lockdown would see everything essential store close amid fear spread omicron coronavirus variant dutch medium reported,Financial Health,2021-12-18T15:30:00Z
533,canada still considering ban nonessential traveller source say,behind scene evolving federal response omicron prime minister talked foreign national ban,Compliance,2021-12-18T15:22:00Z
534,clear yet omicron milder variant rapid spread certain overwhelm hospital expert say,research still early virulence omicron coronavirus variant whats abundantly clear according expert poised spread rapidly across u likely overwhelm battered u health care system,Delays,2021-12-18T15:15:00Z
535,surging covid case bring feel end,u official intensified call friday unvaccinated american get inoculated face new omicron variant contributed record number,Environmental,2021-12-18T15:11:00Z
536,egypt announces first case omicron variant,egyptian health authority say identified country first case highly transmissible omicron variant coronavirus,Environmental,2021-12-18T15:06:00Z
537,benjamin netanyahu others isolate knesset omicron outbreak,top official agree strict purple ribbon outline mall omicron case israel spiked,Commodities,2021-12-18T14:59:00Z
538,covid looking forward,st george hospital london bracing another wave covid wake omicron variant,Environmental,2021-12-18T14:56:00Z
539,omicron variant symptom covid vaccine,omicron aka b variant covid virus recently discovered south africa,Commodities,2021-12-18T14:52:00Z
540,omicron country push ramp booster shot rollouts covid case spike,daily infection number spike north america australia french prime minister likens spread omicron variant lightning,Environmental,2021-12-18T14:40:00Z
541,vaccine may le effective omicron,world health organization yesterday said preliminary evidence indicated covid vaccine might le effective infection transmission linked omicron coronavirus variant day major u study said three usauthorised vaccine appear significantly le protective variant,Environmental,2021-12-18T14:26:00Z
542,arkansas confirms first case omicron covid variant new daily case top hospitalization rise,arkansas announced first confirmed infection caused fastspreading omicron variant friday state count coronavirus case rose second daily increase three day topped,Delays,2021-12-18T14:23:00Z
543,plan drawn twoweek lockdown ban indoor mixing report say,tougher pandemic measure could brought help stop spread omicron covid variant including twoweek circuit breaker lockdown christmas report suggested,Supplier Market,2021-12-18T14:19:00Z
544,columbia study find omicron variant vaccineresistant,new study columbia university say omicron variant covid proving markedly resistant vaccine,Environmental,2021-12-18T14:15:00Z
545,coronavirus omicron variant symptom omicron symptom show sooner covid strain,coronavirus omicron variant symptom aware classic symptom covid fever fatigue persistent cough loss sense smell taste expert believe symptom omicron variant may different unusual could accompanied symptom including lot body pain added doctor much time india,Environmental,2021-12-18T14:11:00Z
546,yes pandemic fatigue issue expert say omicron make worse news,pandemic fatigue weariness among people abide coronavirusrelated restriction expert say still unclear impact fatigue might whether people follow new restriction implemented amid rapidly spreading omicron variant,Environmental,2021-12-18T14:10:00Z
547,booster shot help protect omicron,immunity covid vaccine fade time data show booster offer better protection variantsincluding contagious omicron,Environmental,2021-12-18T13:58:00Z
548,covid new variant might le severe high transmissibility rate worrying factor say indian health expert health,number covid variant omicron case reach india indian health expert said new variant might le severe however high transmissibility rate could worrying factor,Environmental,2021-12-18T13:45:00Z
549,week circuit breaker restriction christmas report suggest,come amid rise covid case omicron variant across nottingham rest country,Commodities,2021-12-18T13:41:00Z
550,rule seeing family christmas catch covid deadline pass,wednesday catch virus self isolate home day including december omicron variant spread across uk,Environmental,2021-12-18T13:30:00Z
551,france fear dominance omicron covid variant canada lift travel ban,omicron variant take world french prime minister warned new variant become dominant one france start,Compliance,2021-12-18T13:23:00Z
552,wastewater monitoring find evidence omicron burlington,monitoring show omicron variant covid likely burlington wastewater would mean variant vermont katharine huntley report,Environmental,2021-12-18T13:19:00Z
553,covid news live plan circuit breaker lockdown ban indoor mixing omicron rip uk,covid news live plan circuit breaker lockdown ban indoor mixing omicron rip uk latest coronavirus update happen,Supplier Market,2021-12-18T13:19:00Z
554,timeline nhl outbreak connect one game calgary,outbreak around league sure flame confirmed omicron variant identified within group,Delays,2021-12-18T13:06:00Z
555,genome test india find omicron one per cent sample cluster,omicron led tsunami fresh covid infection europe mathematical model predicted india start seeing major spike case midjanuary,Delays,2021-12-18T13:04:00Z
556,biden official warn demand test could triple next two month,scientist say omicron variant milder delta still pose threat unvaccinated people yet get booster dose,Environmental,2021-12-18T13:01:00Z
557,live news update omicron driven third wave india likely peak february,omicron driven third wave india likely peak february covid supermodel panel,Environmental,2021-12-18T13:00:00Z
558,one omicron case linked previous covid infection amid big wave,finding uk health security agency hsa suggest omicron causing increase overall reinfection rate alongside increase first infection,Delays,2021-12-18T12:52:00Z
559,expect public health expert offer advice hope,spoke expert expect omicron booster mask,Environmental,2021-12-18T12:30:00Z
560,omicron variant update cdc tracker map show spreading u,omicron still lag behind delta spreading quickly various area united state,Financial Health,2021-12-18T12:24:00Z
561,omicron warns make big statement spread new variant covid,fear new variant covid omicron spread world health organization underlined urgent intensification public,Commodities,2021-12-18T11:32:00Z
562,control zhejiang outbreak matter time,world fighting outbreak omicron variant china battling pandemic orderly methodical manner said leading infectious disease expert,Delays,2021-12-18T11:27:00Z
563,omicron reported northern virginia covid case continue soar,northern virginia reported first official case omicron variant covid case soaring across region faster anywhere else state according,Environmental,2021-12-18T11:25:00Z
564,pennsylvania educator call immediate closure school stop spread covid,committee demand immediate closure school nonessential workplace part massive public health measure stop spread covid highly infectious omicron variant,Supplier Market,2021-12-18T11:20:00Z
565,brazil stock market dollar surpasses r amid global monetary tightening omicron,monetary tightening concern omicron variant covid abroad undermined resilience brazilian stock market friday morning december,Compliance,2021-12-18T11:19:00Z
566,oc report first case omicron variant,ocs first omicron infection detected adult male resident fully vaccinated experienced mild illness,Financial Health,2021-12-18T11:14:00Z
567,omicron case kerala thiruvananthapuram news time india,four omicron case reported state total number omicron case reported become five said health minister,Financial Health,2021-12-18T11:09:00Z
568,covid arkansas gov hutchinson confirms state first case omicron variant,friday arkansas department health covid report confirmed first active case omicron variant state,Commodities,2021-12-18T11:08:00Z
569,percent new french covid case suspected omicron variant minister,paris omicron coronavirus variant suspected responsible percent new confirmed covid case france main reason behind plan stricter health requirement entering venue health minister said saturday new vaccination pas set introduced early next year require people show proof,Compliance,2021-12-18T11:08:00Z
570,french pm say omicron spreading like lightning,france announces series restriction accelerates booster rollout effort curb spread omicron,Environmental,2021-12-18T11:00:00Z
571,argentina limit grain export fight food inflation,bloomberg argentina putting ceiling export corn wheat fresh bid leftist government quell food inflation homemost read bloombergsouth africa hospitalization rate plunge omicron waveacross u school shooting threat tiktok prompt closure policeomicron get around previous covid infection study warnsny covid case top daily record shutdown spreadsinopharm jj sputnik vaccine weaker omicron new,Supplier Market,2021-12-18T10:57:00Z
572,omicron variant responsible nearly half houston methodist covid case,statement hospital said omicron variant doubling every two three day among methodist covid patient,Financial Health,2021-12-18T10:20:00Z
573,see lot covid lot omicron california warned coming wave,christmas holiday approaching california official warning heightened danger winter surge driven combined delta omicron variant,Environmental,2021-12-18T10:19:00Z
574,reason omicron variant creates mild covid symptom,omicron variant appears create mild omicron variant covid symptom omicron variant create mild symptom,Commodities,2021-12-18T10:15:00Z
575,studying uk omicron trend expert warn india could see million daily covid case,new omicron variant spreading rapidly around world chance might happen india government covid task force chief warned india omicron case tally increased expert warned rising case united kingdom france may translate nearly case daily basis,Commodities,2021-12-18T10:05:00Z
576,harris say biden administration failed see either delta omicron variant coming report,vice president harris say biden administration foresaw neither delta omicron covid variant,Environmental,2021-12-18T10:00:00Z
577,national omicron risk pandemic travel confusion pei potato politics,dec province scramble prepare omicron health expert warn might hardest wave pandemic yet warning international travel leaf canadian confused ahead holiday plus pei premier ramp fight end potato export ban,Environmental,2021-12-18T09:56:00Z
578,omicron delta whats difference variant,despite low number confirmed omicron variant case colorado gov jared polis said matter time becomes dominant variant state,Financial Health,2021-12-18T09:54:00Z
579,france pm compare omicron spread europe lightning,french prime minister jean castex friday likened spread omicron variant europe lightning adding would dominant strain france start,Environmental,2021-12-18T09:52:00Z
580,explosive growth methodist hospital report covid case omicron variant,houston methodist hospital said omicron variant responsible least covid case,Financial Health,2021-12-18T09:48:00Z
581,arrival omicron variant could disaster already overwhelmed fox valley hospital health care leader say,unclear whether omicron cause milder illness version coronavirus scientist say sheer number infection due high transmissibility could overwhelm hospital,Delays,2021-12-18T09:41:00Z
582,expert omicron spread tallahassee caution urged amid holiday,people travel holiday local medical expert urge caution omicron variant spread throughout country,Environmental,2021-12-18T09:40:00Z
583,scientist know far omicron variant,omicron spread least country found way least u state track become dominant strain europe midjanuary,Environmental,2021-12-18T09:30:00Z
584,surging covid case bring feel end,travel restriction aimed curbing spread omicron variant coronavirus hammering already beleaguered travel tourism industry adding gloom europe midst crucial holiday season,Environmental,2021-12-18T09:29:00Z
585,vermont official possibility omicron variant,report mutation signature omicron variant detected burlington wastewater vermont official commented discovery shared vermonter next,Commodities,2021-12-18T09:28:00Z
586,call covid restriction omicron variant case skyrocket,president nsw ama dr danielle mcmullen said need done stop spread omicron due,Commodities,2021-12-18T09:28:00Z
587,isnt fourth wave tsunami rishi missing action say dr kit yates,omicron going away time soon much transmissible previous strain probably ability evade existing immunity,Environmental,2021-12-18T09:27:00Z
588,maine st case omicron variant found penobscot county,five sample pcr test penobscot county showed omicron variant present maine,Commodities,2021-12-18T09:25:00Z
589,uk covid case hit record high second day,london new case covid britain hit record high second day running thursday england chief medical officer warned daily hospital admission could also hit new peak due fastspreading omicron coronavirus variant britain reported new infection highest since start pandemic around since previous record,Delays,2021-12-18T09:19:00Z
590,worrying covid graph show omicron case london rising faster first wave,data uk health security agency reported per cent case london caused omicron earlier week closer one two,Environmental,2021-12-18T09:14:00Z
591,new zealand report case omicron variant,wellington new zealand december ani xinhua new zealand identified four covid case omicron variant among recent international arrival taking total country eight said new zealand ministry health statement saturday,Commodities,2021-12-18T09:10:00Z
592,province change gathering size capacity limit,provincial government enacting measure fight omicron variant covid alongside medical officer health dr k,Commodities,2021-12-18T09:04:00Z
593,marin sonoma county report first case omicron variant,marin sonoma county reported first case covid omicron variant friday,Commodities,2021-12-18T09:03:00Z
594,first case omicron variant covid reported msu,michigan state university spokesperson dan olsen confirmed school first case omicron variant covid fridaynbsp,Commodities,2021-12-18T09:01:00Z
595,coronavirus today potential upside omicron,early data omicron scientist asking whether beginning end pandemic,Commodities,2021-12-18T08:57:00Z
596,went inside lab omicron sample here saw video,cnns scott mclean visit lab uk get microscopic view omicron variant case continue rise,Commodities,2021-12-18T08:56:00Z
